CIR#	Environment	RMS DS (ns)	ZSD (deg)	ASD (deg)	ZSA (deg)	ASA (deg)
CIR1	LOS	14.38	4.81	84.73	7.38	6.53
CIR2	LOS	5.06	2.19	8.20	12.25	68.28
CIR3	LOS	24.63	2.75	5.95	13.08	40.67
CIR4	LOS	15.47	0.65	5.11	14.81	3.23
CIR5	LOS	19.86	3.52	5.72	13.86	90.64
CIR6	LOS	2.79	0.89	12.29	7.09	25.75
CIR7	LOS	22.23	1.97	8.12	7.23	12.37
CIR8	LOS	2.84	1.70	12.91	2.55	10.81
CIR9	LOS	16.46	2.28	33.57	11.08	7.47
CIR10	LOS	1.34	0.36	11.05	5.41	2.07
CIR11	LOS	18.23	2.35	14.55	8.97	6.08
CIR12	LOS	14.33	2.95	33.38	10.94	7.41
CIR13	LOS	10.45	6.52	38.89	6.77	65.91
CIR14	LOS	8.48	2.08	30.75	21.69	71.39
CIR15	LOS	13.68	0.66	9.89	6.68	7.60
CIR16	LOS	11.11	2.94	53.12	9.32	75.17
CIR17	LOS	17.06	1.68	46.75	9.26	62.38
CIR18	LOS	20.67	2.04	7.78	10.80	9.91
CIR19	LOS	21.85	5.74	75.34	7.21	76.05
CIR20	LOS	17.05	4.45	27.73	6.42	6.00
CIR21	LOS	24.03	3.64	73.64	9.49	10.37
CIR22	LOS	18.65	3.01	6.76	16.47	7.52
CIR23	LOS	19.26	5.83	34.16	5.57	3.54
CIR24	LOS	26.37	1.83	6.19	13.77	77.98
CIR25	LOS	20.31	2.21	10.12	8.50	62.23
CIR26	LOS	26.64	5.64	93.88	16.10	16.21
CIR27	LOS	13.51	1.41	8.22	8.00	9.03
CIR28	LOS	10.03	1.77	78.15	4.27	77.22
CIR29	LOS	15.89	1.40	8.80	12.13	5.03
CIR30	LOS	18.98	2.29	32.21	19.18	12.70
CIR31	LOS	15.82	3.36	41.37	6.65	56.98
CIR32	LOS	19.31	4.29	44.20	5.24	59.70
CIR33	LOS	24.52	2.17	5.62	6.58	7.55
CIR34	LOS	11.44	0.14	0.80	0.58	4.05
CIR35	LOS	19.88	4.02	56.91	7.45	9.58
CIR36	LOS	11.04	6.71	69.24	15.56	5.92
CIR37	LOS	20.56	1.21	9.31	5.57	40.09
CIR38	LOS	13.05	1.54	4.47	15.57	81.05
CIR39	LOS	11.11	3.29	6.92	4.33	76.00
CIR40	LOS	21.55	3.42	73.69	10.81	62.51
